Vgas,Ang,ID,Vgas2,Vwater
50,1.53733,10.0451,5,10.0451
330,0.00159499,15.1545,3,15.1545
90,3.66717,1.53388,1,1.53388
310,0.0103271,9.30572,5,9.30572
0.5,0.016,25,4,25
1,0.0063,10,3,10
85,1.06196,0.380913,5,0.380913
290,0.0107642,0.979759,3,0.979759
90,0.96901,1.02165,5,1.02165
70,0.97598,25.1132,5,25.1132
350,4,1.6,1,1.6
5,0.01,4,5,4
80,0.0093898,9.84383,5,9.84383
355,0.01,0.016,2,0.016
290,0.621348,16.1757,4,16.1757
359,1.6,0.4,5,0.4
330,3.98645,2.50216,1,2.50216
359,4,0.1,1,0.1
350,0.0016,1,3,1
0.25,0.4,25,4,25
10,0.4,40,5,40
290,0.101615,24.829,4,24.829
0,2.5,0.63,5,0.63
280,0.991116,0.0149809,5,0.0149809
50,0.0383586,0.0395909,5,0.0395909
280,0.0100989,25.4365,4,25.4365
280,0.407911,0.0628727,3,0.0628727
15,0.00250011,4.04819,5,4.04819
80,0.0567422,6.29611,5,6.29611
70,0.984383,3.93772,5,3.93772
15,0.0754312,0.166388,5,0.166388
85,2.83834,1.00242,1,1.00242
1,4,4,5,4
20,2.12636,0.0244,5,0.0244
70,2.47558,0.0921689,1,0.0921689
1,0.25,10,5,10
70,0.941094,6.40342,5,6.40342
0.25,0.1,1,5,1
330,0.16203,25.8146,4,25.8146
5,0.1,0.1,5,0.1
359,1,6.3,5,6.3
90,0.00237337,6.02357,5,6.02357
70,2.5641,3.80017,5,3.80017
5,0.25,16,4,16
2,0.4,16,5,16
280,0.395965,26.7415,4,26.7415
20,1.04512,9.42947,5,9.42947
20,3.79404,0.0233959,1,0.0233959
5,4,0.25,1,0.25
2,0.4,10,5,10
70,3.69615,0.235825,1,0.235825
0,0.063,16,4,16
330,0.0145657,25.1804,4,25.1804
290,1.6162,9.73309,4,9.73309
270,0.245795,0.100753,4,0.100753
80,0.00588208,6.58295,5,6.58295
280,0.967037,0.374793,4,0.374793
15,1.09854,1.41845,5,1.41845
0,0.063,1.6,3,1.6
310,0.166193,0.0378552,5,0.0378552
310,4.15315,0.237137,1,0.237137
15,0.00910298,0.0962716,5,0.0962716
350,0.16,4,3,4
0.25,0.0063,6.3,3,6.3
85,2.71533,0.393966,1,0.393966
310,2.67791,0.964662,5,0.964662
0,2.5,1.6,5,1.6
0,0.1,1.6,3,1.6
30,0.00814724,0.127094,5,0.127094
80,0.149893,6.50935,5,6.50935
0.5,0.0025,4,5,4
330,1.70822,0.0147138,3,0.0147138
0.25,0.0025,0.025,5,0.025
359,0.25,0.016,3,0.016
0,0.063,0.63,2,0.63
30,0.0736629,14.9809,4,14.9809
2,0.01,4,5,4
330,1.03955,0.0918359,3,0.0918359
80,2.26709,2.6191,5,2.6191
0.5,1.6,0.4,5,0.4
280,0.157119,0.0162098,3,0.0162098
359,2.6,0.25,1,0.25
350,0.1,6.3,3,6.3
